Zipcode,Household_Income,Income_per_Capita,Population
95126,92788.0,54954.0,35988.0
95134,139558.0,65665.0,27224.0
95202,14484.0,12408.0,6001.0
95209,78883.0,27963.0,44313.0
95222,52289.0,36554.0,5090.0
95466,60139.0,27539.0,993.0
95490,42292.0,23061.0,12914.0
95551,53077.0,34557.0,1374.0
95562,37108.0,21983.0,3422.0
95620,78079.0,29336.0,21854.0
95132,111623.0,40047.0,41844.0
95135,142531.0,55729.0,22358.0
95136,104909.0,44041.0,47599.0
95212,88178.0,27395.0,28049.0
95227,92938.0,42927.0,842.0
95312,62688.0,21603.0,304.0
95313,48063.0,24107.0,1225.0
95317,39464.0,28575.0,906.0
95404,77127.0,43824.0,40474.0
95415,40878.0,26501.0,1262.0
95420,102607.0,37129.0,648.0
95445,56227.0,32089.0,2201.0
95449,46111.0,23632.0,1656.0
95005,87168.0,42459.0,7710.0
95008,115453.0,57933.0,46513.0
95018,102163.0,48623.0,7060.0
95020,95829.0,35608.0,63852.0
95041,56667.0,13416.0,353.0
95051,125520.0,54668.0,58123.0
95064,46375.0,6816.0,10299.0
95065,92225.0,48159.0,8355.0
95110,87634.0,37655.0,20203.0
95111,69039.0,24161.0,62392.0
95124,143425.0,57798.0,51170.0
95125,116708.0,64401.0,53574.0
95131,121567.0,46350.0,31170.0
95133,82487.0,34003.0,28726.0
95215,45501.0,18893.0,24371.0
95223,59330.0,42563.0,2860.0
95224,32961.0,42364.0,166.0
95303,58542.0,69405.0,871.0
95321,52297.0,36711.0,3337.0
95327,52656.0,25201.0,7711.0
95340,56089.0,27304.0,36373.0
95348,45195.0,21246.0,34241.0
95571,31458.0,20937.0,271.0
95240,46309.0,23137.0,48838.0
95366,84201.0,36351.0,17654.0
95367,67746.0,25442.0,25162.0
95374,49938.0,42253.0,1758.0
95382,69720.0,32078.0,38343.0
95439,52500.0,29250.0,774.0
95444,62685.0,25400.0,715.0
95323,65000.0,24317.0,1222.0
96145,72431.0,45692.0,2151.0
96021,43032.0,21100.0,16228.0
96074,38750.0,17121.0,174.0
96121,87596.0,45489.0,317.0
96112,44500.0,19644.0,202.0
96049,35625.0,11028.0,87.0
96111,51193.0,43684.0,94.0
96129,119111.0,46244.0,496.0
95465,58778.0,59975.0,2104.0
95672,102750.0,47294.0,5220.0
95834,63228.0,28273.0,28229.0
95460,64464.0,44392.0,2277.0
95585,22222.0,16124.0,483.0
95615,58231.0,23963.0,999.0
95692,72555.0,32745.0,5152.0
95742,126348.0,38958.0,11921.0
95961,52728.0,21896.0,27728.0
95121,102728.0,33599.0,38102.0
95461,42250.0,28720.0,2440.0
95542,31055.0,23719.0,2072.0
95543,35855.0,19470.0,664.0
95547,55577.0,33563.0,978.0
95549,70469.0,29315.0,1050.0
95554,62639.0,26445.0,287.0
95558,40000.0,37424.0,423.0
95565,39115.0,20786.0,772.0
95568,45769.0,19560.0,253.0
95605,45456.0,21989.0,14960.0
95232,56579.0,38346.0,164.0
95245,49549.0,30758.0,1851.0
95249,35745.0,19295.0,4854.0
95023,83305.0,31089.0,52646.0
95035,125055.0,43573.0,77562.0
95062,74061.0,40712.0,38028.0
95713,64176.0,35162.0,9764.0
95746,135360.0,66091.0,23492.0
95758,79885.0,32281.0,63894.0
95765,106554.0,42368.0,37878.0
95815,31467.0,17106.0,25224.0
95818,80938.0,52650.0,21732.0
95821,42290.0,27120.0,35430.0
95822,54552.0,27496.0,45323.0
95831,75632.0,42840.0,42514.0
95838,44849.0,17299.0,39187.0
95947,42277.0,23915.0,2005.0
95968,27195.0,16532.0,1287.0
95982,71714.0,29482.0,3229.0
96009,58281.0,40345.0,345.0
96027,57202.0,26481.0,2416.0
