date,cases,deaths
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,100.0,0.0
2020-03-02,75.0,0.0
2020-03-03,83.0,1.0
2020-03-04,92.0,1.0
2020-03-05,106.0,0.0
2020-03-06,154.0,1.0
2020-03-07,159.0,0.0
2020-03-08,177.0,0.0
2020-03-09,329.0,3.0
2020-03-10,348.0,0.0
2020-03-11,409.0,1.0
2020-03-12,489.0,0.0
2020-03-13,559.0,1.0
2020-03-14,496.0,1.0
2020-03-15,596.0,3.0
2020-03-16,850.0,5.0
2020-03-17,816.0,6.0
2020-03-18,744.0,0.0
2020-03-19,755.0,7.0
2020-03-20,902.0,7.0
2020-03-21,674.0,10.0
2020-03-22,734.0,14.0
2020-03-23,991.0,18.0
2020-03-24,833.0,18.0
2020-03-25,1035.0,20.0
2020-03-26,966.0,15.0
2020-03-27,996.0,22.0
2020-03-28,932.0,26.0
2020-03-29,817.0,25.0
2020-03-30,1369.0,29.0
2020-03-31,1254.0,42.0
2020-04-01,1506.0,41.0
2020-04-02,1365.0,55.0
2020-04-03,1497.0,53.0
2020-04-04,1118.0,38.0
2020-04-05,1136.0,58.0
2020-04-06,1356.0,36.0
2020-04-07,1420.0,63.0
2020-04-08,1456.0,64.0
2020-04-09,1395.0,59.0
2020-04-10,1459.0,63.0
2020-04-11,1052.0,55.0
2020-04-12,969.0,68.0
2020-04-13,1504.0,79.0
2020-04-14,1468.0,89.0
2020-04-15,1643.0,68.0
2020-04-16,1660.0,99.0
2020-04-17,1587.0,74.0
2020-04-18,1197.0,68.0
2020-04-19,1059.0,67.0
2020-04-20,1905.0,86.0
2020-04-21,1661.0,72.0
2020-04-22,1729.0,85.0
2020-04-23,1832.0,90.0
2020-04-24,1999.0,79.0
2020-04-25,1596.0,68.0
2020-04-26,1248.0,70.0
2020-04-27,2227.0,67.0
2020-04-28,2087.0,93.0
2020-04-29,2034.0,80.0
2020-04-30,1903.0,79.0
2020-05-01,2216.0,74.0
2020-05-02,1367.0,96.0
2020-05-03,1144.0,70.0
2020-05-04,2420.0,76.0
2020-05-05,2595.0,67.0
2020-05-06,2307.0,98.0
2020-05-07,2133.0,87.0
2020-05-08,2238.0,83.0
2020-05-09,1542.0,87.0
2020-05-10,1313.0,73.0
2020-05-11,2426.0,66.0
2020-05-12,2413.0,85.0
2020-05-13,2263.0,74.0
2020-05-14,2651.0,75.0
2020-05-15,2493.0,75.0
2020-05-16,1682.0,91.0
2020-05-17,1317.0,72.0
2020-05-18,2756.0,88.0
2020-05-19,2435.0,75.0
2020-05-20,2685.0,73.0
2020-05-21,2418.0,57.0
2020-05-22,2521.0,79.0
2020-05-23,1731.0,70.0
2020-05-24,1388.0,76.0
2020-05-25,2189.0,59.0
2020-05-26,3582.0,81.0
2020-05-27,3490.0,78.0
2020-05-28,3150.0,71.0
2020-05-29,3782.0,60.0
2020-05-30,2219.0,65.0
2020-05-31,1562.0,66.0
2020-06-01,3615.0,74.0
2020-06-02,3887.0,66.0
2020-06-03,3407.0,84.0
2020-06-04,3590.0,73.0
2020-06-05,3692.0,66.0
2020-06-06,2663.0,64.0
2020-06-07,1990.0,68.0
2020-06-08,4142.0,82.0
2020-06-09,3968.0,74.0
2020-06-10,4199.0,61.0
2020-06-11,4031.0,59.0
2020-06-12,4391.0,73.0
2020-06-13,3546.0,71.0
2020-06-14,2844.0,66.0
2020-06-15,6165.0,69.0
2020-06-16,6243.0,61.0
2020-06-17,6445.0,69.0
2020-06-18,6445.0,67.0
2020-06-19,6565.0,79.0
2020-06-20,4968.0,77.0
2020-06-21,3778.0,73.0
2020-06-22,8853.0,72.0
2020-06-23,9385.0,66.0
2020-06-24,9732.0,91.0
2020-06-25,9728.0,70.0
2020-06-26,9334.0,84.0
