date,county,population,cases,deaths,total_tests,positive_tests,Cases Per 100k
2021-03-31,Alameda,1685886.0,98.0,1.0,10553.0,123.0,5.81
2021-03-31,Alpine,1117.0,0.0,0.0,3.0,0.0,0.0
2021-03-31,Amador,38531.0,3.0,0.0,317.0,8.0,7.79
2021-03-31,Butte,217769.0,11.0,0.0,632.0,11.0,5.05
2021-03-31,Calaveras,44289.0,4.0,0.0,80.0,4.0,9.03
2021-03-31,Colusa,22593.0,1.0,0.0,162.0,0.0,4.43
2021-03-31,Contra Costa,1160099.0,87.0,1.0,5396.0,91.0,7.5
2021-03-31,Del Norte,27558.0,8.0,0.0,137.0,10.0,29.03
2021-03-31,El Dorado,193098.0,19.0,0.0,425.0,20.0,9.84
2021-03-31,Fresno,1032227.0,64.0,0.0,3211.0,94.0,6.2
2021-03-31,Glenn,29348.0,0.0,0.0,68.0,0.0,0.0
2021-03-31,Humboldt,134098.0,2.0,0.0,397.0,0.0,1.49
2021-03-31,Imperial,191649.0,28.0,2.0,383.0,31.0,14.61
2021-03-31,Inyo,18453.0,0.0,0.0,29.0,0.0,0.0
2021-03-31,Kern,927251.0,40.0,0.0,2065.0,60.0,4.31
2021-03-31,Kings,156444.0,5.0,0.0,392.0,7.0,3.2
2021-03-31,Lake,64871.0,5.0,0.0,239.0,5.0,7.71
2021-03-31,Lassen,30065.0,0.0,0.0,61.0,0.0,0.0
2021-03-31,Los Angeles,10257557.0,477.0,10.0,52543.0,756.0,4.65
2021-03-31,Madera,160089.0,10.0,0.0,394.0,17.0,6.25
2021-03-31,Marin,260800.0,9.0,0.0,1722.0,11.0,3.45
2021-03-31,Mariposa,17795.0,0.0,0.0,58.0,0.0,0.0
2021-03-31,Mendocino,88439.0,2.0,0.0,201.0,6.0,2.26
2021-03-31,Merced,287420.0,37.0,1.0,978.0,53.0,12.87
2021-03-31,Modoc,9475.0,1.0,0.0,5.0,1.0,10.55
2021-03-31,Mono,13961.0,1.0,0.0,68.0,1.0,7.16
2021-03-31,Monterey,448732.0,25.0,0.0,1453.0,23.0,5.57
2021-03-31,Napa,139652.0,14.0,0.0,614.0,14.0,10.02
2021-03-31,Nevada,98710.0,12.0,1.0,274.0,12.0,12.16
2021-03-31,Orange,3228519.0,127.0,5.0,11430.0,176.0,3.93
2021-03-31,Placer,400434.0,43.0,1.0,1095.0,45.0,10.74
2021-03-31,Plumas,18997.0,0.0,0.0,58.0,1.0,0.0
2021-03-31,Riverside,2468145.0,115.0,3.0,6866.0,168.0,4.66
2021-03-31,Sacramento,1567975.0,135.0,0.0,5086.0,176.0,8.61
2021-03-31,San Benito,64022.0,6.0,0.0,270.0,6.0,9.37
2021-03-31,San Bernardino,2217398.0,110.0,1.0,7445.0,189.0,4.96
2021-03-31,San Diego,3370418.0,236.0,2.0,14656.0,369.0,7.0
2021-03-31,San Francisco,892280.0,52.0,0.0,6565.0,63.0,5.83
2021-03-31,San Joaquin,782545.0,88.0,0.0,3529.0,116.0,11.25
2021-03-31,San Luis Obispo,278862.0,19.0,0.0,1279.0,28.0,6.81
2021-03-31,San Mateo,778001.0,43.0,0.0,7681.0,48.0,5.53
2021-03-31,Santa Barbara,456373.0,24.0,0.0,3259.0,38.0,5.26
2021-03-31,Santa Clara,1967585.0,122.0,0.0,15026.0,164.0,6.2
2021-03-31,Santa Cruz,273999.0,7.0,0.0,2085.0,8.0,2.55
2021-03-31,Shasta,177925.0,8.0,1.0,568.0,10.0,4.5
2021-03-31,Sierra,3115.0,0.0,0.0,6.0,0.0,0.0
2021-03-31,Siskiyou,43956.0,1.0,0.0,164.0,2.0,2.28
2021-03-31,Solano,444255.0,29.0,0.0,2111.0,31.0,6.53
2021-03-31,Sonoma,496668.0,32.0,0.0,2383.0,47.0,6.44
