county,latitude,longitude,population,student_pop,"cases per 100,000","Fully Vaccinated per 100,000",% student population,vax_per_case
Alameda,37.7798721,-122.2821855,1685886.0,130485.0,4995,33949,7.74,6.8
Alpine,32.8350521,-116.7664109,1117.0,0.0,7699,53088,0.0,6.9
Amador,38.3488921,-120.7740931,38531.0,0.0,9311,25405,0.0,2.73
Butte,39.6253952,-121.5370003,217769.0,27274.0,5241,27251,12.52,5.2
Calaveras,38.1960477,-120.6805037,44289.0,0.0,4545,25898,0.0,5.7
Colusa,39.2143343,-122.0094175,22593.0,0.0,8400,21117,0.0,2.51
Contra Costa,37.8534093,-121.9017954,1160099.0,42486.0,5659,36238,3.66,6.4
Del Norte,41.7076287,-123.9659708,27558.0,0.0,4292,21024,0.0,4.9
El Dorado,38.74263759999999,-120.4357631,193098.0,3203.0,4906,27811,1.66,5.67
Fresno,36.7377981,-119.7871247,1032227.0,81646.0,9670,24361,7.91,2.52
Glenn,39.5218283,-122.0138651,29348.0,0.0,7966,23405,0.0,2.94
Humboldt,40.7450055,-123.8695086,134098.0,11931.0,2598,26662,8.9,10.26
Imperial,32.8475528,-115.5694391,191649.0,8728.0,14415,21156,4.55,1.47
Inyo,36.3091865,-117.5495846,18453.0,0.0,7456,30233,0.0,4.05
Kern,35.4937274,-118.8596804,927251.0,51489.0,10211,19868,5.55,1.95
Kings,36.0988489,-119.8815203,156444.0,4407.0,14451,16067,2.82,1.11
Lake,40.3718429,-122.2333825,64871.0,0.0,5174,26036,0.0,5.03
Lassen,40.5394389,-120.7120023,30065.0,2526.0,17026,16737,8.4,0.98
Los Angeles,34.0522342,-118.2436849,10257557.0,757021.0,11522,27677,7.38,2.4
Madera,36.9613356,-120.0607176,160089.0,0.0,10055,22166,0.0,2.2
Marin,38.083403,-122.7633036,260800.0,7159.0,5241,46062,2.75,8.79
Mariposa,37.4849377,-119.9662843,17795.0,0.0,2197,14711,0.0,6.7
Mendocino,39.3076744,-123.7994591,88439.0,3960.0,4189,32798,4.48,7.83
Merced,37.3021632,-120.4829677,287420.0,20477.0,10446,17266,7.12,1.65
Modoc,41.4565165,-120.629366,9475.0,0.0,3683,23229,0.0,6.31
Mono,37.9218608,-118.9528645,13961.0,0.0,8946,46379,0.0,5.18
Monterey,36.6002378,-121.8946761,448732.0,33378.0,9469,26569,7.44,2.81
Napa,38.2975381,-122.286865,139652.0,6201.0,6803,38240,4.44,5.62
Nevada,39.2615606,-121.0160594,98710.0,0.0,4413,27685,0.0,6.27
Orange,33.7879139,-117.8531007,3228519.0,285987.0,7755,29307,8.86,3.78
Placer,39.0915751,-120.8039474,400434.0,20058.0,5301,30100,5.01,5.68
Plumas,39.99268319999999,-120.8039474,18997.0,2058.0,3484,30704,10.83,8.81
Riverside,33.9806005,-117.3754942,2468145.0,119902.0,11522,22685,4.86,1.97
Sacramento,38.5815719,-121.4943996,1567975.0,116772.0,6321,25723,7.45,4.07
San Benito,36.5760883,-120.9876321,64022.0,0.0,9201,24802,0.0,2.7
San Bernardino,34.1083449,-117.2897652,2217398.0,107540.0,13005,20135,4.85,1.55
San Diego,32.715738,-117.1610838,3370418.0,317016.0,8031,29933,9.41,3.73
San Francisco,37.7749295,-122.4194155,892280.0,85641.0,3990,37968,9.6,9.52
San Joaquin,36.6066162,-120.1890447,782545.0,27287.0,8876,20849,3.49,2.35
San Luis Obispo,35.2827524,-120.6596156,278862.0,33800.0,7294,29693,12.12,4.07
San Mateo,37.5629917,-122.3255254,778001.0,27391.0,5223,35862,3.52,6.87
Santa Barbara,34.4208305,-119.6981901,456373.0,56477.0,7314,28485,12.38,3.89
Santa Clara,37.3541079,-121.9552356,1967585.0,139287.0,5850,29535,7.08,5.05
Santa Cruz,36.9741171,-122.0307963,273999.0,30996.0,5701,33176,11.31,5.82
Shasta,40.598119,-122.4907566,177925.0,10239.0,6434,17469,5.75,2.72
Sierra,39.5532845,-120.2512728,3115.0,0.0,1605,38747,0.0,24.14
Siskiyou,41.7743261,-122.5770126,43956.0,1761.0,3423,24840,4.01,7.26
Solano,38.3104969,-121.9017954,444255.0,12238.0,6981,26591,2.75,3.81
Sonoma,38.291859,-122.4580356,496668.0,28646.0,5908,36457,5.77,6.17
Stanislaus,37.5090711,-120.9876321,562303.0,29882.0,9464,21482,5.31,2.27
Sutter,39.1598915,-121.7527482,105747.0,112.0,8665,23057,0.11,2.66
Tehama,40.0271015,-122.1233228,65885.0,0.0,7274,16838,0.0,2.31
Trinity,40.6329485,-123.0622553,13354.0,0.0,2411,18376,0.0,7.62
Tulare,36.2077288,-119.3473379,484423.0,24904.0,9986,22100,5.14,2.21
Tuolumne,37.9627027,-120.2412999,52351.0,2616.0,7615,30234,5.0,3.97
Ventura,34.2804923,-119.2945199,852747.0,47462.0,9319,30773,5.57,3.3
Yolo,38.732968,-121.8072828,223612.0,42408.0,5985,29712,18.96,4.96
Yuba,39.2547027,-121.3998995,79290.0,5626.0,7220,17101,7.1,2.37
