county,population
Los Angeles,9969510
San Diego,3347270
Orange,3175130
Riverside,2520060
San Bernardino,2206750
Santa Clara,1918880
Alameda,1680480
Sacramento,1578680
Contra Costa,1159540
Fresno,1013400
Kern,913090
San Francisco,883255
Ventura,841734
San Joaquin,781462
San Mateo,762357
Stanislaus,555728
Sonoma,485722
Tulare,469407
Solano,451479
Santa Barbara,447937
Monterey,434283
Placer,410327
Merced,284738
San Luis Obispo,282625
Santa Cruz,271957
Marin,257154
Yolo,221264
El Dorado,197037
Butte,196880
Shasta,180822
Imperial,180599
Madera,158217
Kings,156056
Napa,135654
Humboldt,134186
Nevada,100249
Sutter,98217
Mendocino,85445
Yuba,80890
Tehama,67216
San Benito,65490
Lake,64524
Tuolumne,54660
Calaveras,46319
Siskiyou,43517
Amador,40446
Lassen,30483
Glenn,29245
Del Norte,27956
Colusa,21805
Plumas,18939
Inyo,18225
Mariposa,16799
Mono,14526
Trinity,11721
Modoc,8923
Sierra,3021
Alpine,1209
