county,latitude,longitude,vax_per_case
Sierra,39.5532845,-120.2512728,24.14
Humboldt,40.7450055,-123.86950859999999,10.26
San Francisco,37.7749295,-122.4194155,9.52
Plumas,39.99268319999999,-120.80394740000001,8.81
Marin,38.083403000000004,-122.76330359999999,8.79
Mendocino,39.3076744,-123.7994591,7.83
Trinity,40.6329485,-123.0622553,7.62
Siskiyou,41.7743261,-122.57701259999999,7.26
Alpine,32.8350521,-116.76641090000001,6.9
San Mateo,37.562991700000005,-122.32552539999999,6.87
Alameda,37.7798721,-122.2821855,6.8
Mariposa,37.4849377,-119.96628429999998,6.7
Contra Costa,37.8534093,-121.90179540000001,6.4
Modoc,41.4565165,-120.62936599999999,6.31
Nevada,39.2615606,-121.0160594,6.27
